Time,Breaker Switch,Voltage (V),Frequency (Hz),Current (A),Active Power (kW),Power Factor
11:10:05 PM,ON,231.1,50,1.16,0.132,0.492
11:15:08 PM,ON,230.6,50,1.16,0.132,0.494
11:20:11 PM,ON,229.8,50,1.15,0.131,0.5
11:25:14 PM,ON,230.4,50,1.18,0.144,0.531
11:30:17 PM,ON,230.2,50,1.15,0.13,0.492
11:35:20 PM,ON,230.5,50,1.15,0.128,0.483
11:40:23 PM,ON,230.9,50,1.15,0.128,0.483
11:45:26 PM,ON,231.1,50,1.15,0.127,0.479
11:50:29 PM,ON,230.9,50,1.15,0.127,0.479
11:55:32 PM,ON,231.7,50.3,1.14,0.126,0.477
12:00:35 AM,ON,232.4,50,1.16,0.127,0.472
12:05:42 AM,ON,232.7,50.3,1.15,0.126,0.471
12:10:45 AM,ON,232.6,50.3,1.15,0.126,0.471
12:15:48 AM,ON,232.5,50.3,1.15,0.126,0.471
12:20:52 AM,ON,233.1,50.4,1.15,0.125,0.466
12:25:55 AM,ON,232.3,50.2,1.15,0.125,0.468
12:30:58 AM,ON,231.6,50,1.15,0.124,0.466
12:36:01 AM,ON,232.3,50.2,1.15,0.125,0.468
12:41:06 AM,ON,233.1,50.3,1.15,0.125,0.466
12:46:09 AM,ON,233.8,50,1.17,0.126,0.461
12:51:13 AM,ON,234.1,50.2,1.17,0.126,0.461
12:56:16 AM,ON,233.6,50.3,1.16,0.125,0.462
1:01:20 AM,ON,233.7,50.3,1.16,0.126,0.464
1:06:23 AM,ON,234.8,50.4,1.17,0.126,0.459
1:11:26 AM,ON,234.4,50.3,1.16,0.126,0.464
1:16:30 AM,ON,234.7,50.3,1.17,0.126,0.459
1:21:35 AM,ON,234.7,50.3,1.16,0.126,0.463
1:26:38 AM,ON,234.8,50.3,1.17,0.127,0.463
1:31:41 AM,ON,234.4,50.3,1.16,0.126,0.464
1:36:44 AM,ON,235.3,50.3,1.18,0.127,0.458
1:41:48 AM,ON,235.3,50.2,1.17,0.127,0.461
1:46:51 AM,ON,236.1,50.2,1.18,0.127,0.456
1:51:54 AM,ON,235.9,50.3,1.18,0.127,0.456
1:56:58 AM,ON,236.7,50.3,1.18,0.128,0.458
2:02:01 AM,ON,237.4,50.3,1.19,0.129,0.457
2:07:04 AM,ON,237.3,50.2,1.2,0.128,0.45
2:12:08 AM,ON,237.8,50.2,1.2,0.129,0.452
2:17:12 AM,ON,238.5,50.2,1.21,0.13,0.451
2:22:16 AM,ON,236.7,50.2,1.19,0.128,0.455
2:27:19 AM,ON,236.6,50,1.19,0.128,0.455
2:32:22 AM,ON,238.6,50.3,1.2,0.129,0.451
2:37:25 AM,ON,237.7,50.3,1.19,0.129,0.457
2:42:28 AM,ON,238.2,50.2,1.2,0.129,0.452
2:47:31 AM,ON,238.9,50.3,1.21,0.13,0.449
2:52:35 AM,ON,238.5,50.3,1.2,0.129,0.451
2:57:38 AM,ON,237.6,50.2,1.2,0.129,0.452
3:02:42 AM,ON,237.9,50,1.2,0.129,0.452
3:07:46 AM,ON,239.3,50.3,1.21,0.13,0.449
3:12:50 AM,ON,239.3,50.2,1.21,0.131,0.453
3:17:54 AM,ON,239,50.3,1.21,0.13,0.449
3:22:57 AM,ON,238.6,50.3,1.2,0.129,0.451
3:28:00 AM,ON,239.6,50.3,1.21,0.13,0.449
3:33:03 AM,ON,239.8,50.2,1.22,0.131,0.448
3:38:06 AM,ON,239,50.3,1.2,0.13,0.454
3:43:11 AM,ON,239.2,50.3,1.21,0.13,0.449
3:48:14 AM,ON,238.6,50,1.21,0.13,0.451
3:53:18 AM,ON,240.7,50.2,1.23,0.131,0.442
3:58:21 AM,ON,240.4,50.3,1.22,0.131,0.447
4:03:24 AM,ON,239.5,50,1.22,0.13,0.445
4:08:28 AM,ON,239.7,50.3,1.21,0.13,0.448
4:13:31 AM,ON,239.7,50.3,1.21,0.13,0.448
4:18:34 AM,ON,239.9,50,1.22,0.131,0.448
4:23:37 AM,ON,239.8,50.3,1.21,0.13,0.448
4:28:40 AM,ON,239.2,50.3,1.21,0.13,0.449
4:33:43 AM,ON,240.2,50.2,1.22,0.131,0.447
4:38:47 AM,ON,241.8,50.3,1.23,0.132,0.444
4:43:51 AM,ON,241.5,50.3,1.23,0.132,0.444
4:48:54 AM,ON,241.5,50.3,1.23,0.132,0.444
4:53:56 AM,ON,240.9,50.3,1.22,0.132,0.45
4:59:01 AM,ON,241.2,50.4,1.23,0.132,0.445
5:04:05 AM,ON,240.8,50.4,1.22,0.132,0.45
5:09:09 AM,ON,241.6,50.3,1.23,0.132,0.444
5:14:12 AM,ON,242.3,50.4,1.24,0.133,0.443
5:19:14 AM,ON,242.4,50.3,1.24,0.132,0.44
5:24:18 AM,ON,242.7,50.3,1.24,0.133,0.443
5:29:21 AM,ON,242.7,50.4,1.24,0.133,0.443
5:34:24 AM,ON,242.2,50.3,1.24,0.139,0.463
5:39:28 AM,ON,243.5,50.4,1.25,0.14,0.46
5:44:31 AM,ON,243.6,50.4,1.25,0.138,0.453
5:49:34 AM,ON,243.6,50.3,1.26,0.137,0.447
5:54:37 AM,ON,242.1,50.4,1.24,0.135,0.45
5:59:41 AM,ON,242.1,50.3,1.24,0.134,0.446
6:04:44 AM,ON,242.1,50.3,1.24,0.133,0.443
6:09:47 AM,ON,242.7,50.4,1.24,0.134,0.446
6:14:50 AM,ON,242.5,50.3,1.24,0.134,0.446
6:19:53 AM,ON,242.3,50.3,1.24,0.133,0.443
6:24:57 AM,ON,242.3,50.3,1.24,0.133,0.443
6:29:59 AM,ON,241.9,50.4,1.23,0.132,0.444
6:35:02 AM,ON,242.1,50.3,1.23,0.132,0.444
6:40:06 AM,ON,241.5,50.4,1.23,0.132,0.444
6:45:09 AM,ON,242.3,50.3,0.64,0.154,0.993
6:50:12 AM,ON,241.3,50.2,0.63,0.153,1
6:55:15 AM,ON,239.8,50.2,0.63,0.151,1
7:00:18 AM,ON,240.7,50.3,0.63,0.152,1
7:05:22 AM,ON,242.6,50.3,0.03,0,1
7:10:25 AM,ON,242.4,50.3,1.29,0.165,0.528
7:15:28 AM,ON,242,50.4,1.27,0.157,0.511
7:20:32 AM,ON,240.8,50.3,1.25,0.148,0.491
7:25:36 AM,ON,242.1,50.3,1.25,0.146,0.483
7:30:39 AM,ON,242.2,50.3,1.25,0.143,0.473
7:35:42 AM,ON,241.8,50.3,1.24,0.14,0.468
7:40:47 AM,ON,242,50.4,1.25,0.139,0.46
7:45:51 AM,ON,240.9,50.4,1.23,0.137,0.462
7:50:54 AM,ON,242.1,50.3,1.24,0.137,0.456
7:55:57 AM,ON,241.3,50,1.24,0.136,0.454
8:01:00 AM,ON,238.7,50,1.22,0.137,0.47
8:06:05 AM,ON,238.1,50,1.22,0.136,0.468
8:11:08 AM,ON,236.9,50,1.21,0.136,0.475
8:16:12 AM,ON,236.8,50,1.2,0.134,0.471
8:21:16 AM,ON,236.8,50,1.2,0.133,0.468
8:26:20 AM,ON,236.3,50.2,1.19,0.132,0.469
8:31:23 AM,ON,235.8,50,1.19,0.13,0.464
8:36:27 AM,ON,235.1,50,1.18,0.128,0.462
8:41:30 AM,ON,235.8,50,1.18,0.129,0.464
8:46:35 AM,ON,236.3,50.3,1.18,0.129,0.464
8:51:38 AM,ON,235.9,50.3,1.18,0.134,0.482
8:56:41 AM,ON,236.2,50.3,1.19,0.133,0.473
9:01:45 AM,ON,236.5,50.3,1.19,0.133,0.473
9:06:49 AM,ON,235.8,50.3,1.18,0.131,0.471
9:11:52 AM,ON,235.9,50.4,1.18,0.129,0.464
9:16:55 AM,ON,236.1,50.3,1.18,0.129,0.464
